question,actual_label,model_prediction,difficulty
Does early migraine treatment shorten time to headache peak and reduce its severity?,HALLUCINATED,HALLUCINATED.,medium
Does the manic/mixed episode distinction in bipolar disorder patients run true over time?,HALLUCINATED,HALLUCINATED.,hard
Post-tonsillectomy late haemorrhage: is it a preferably night-time event?,HALLUCINATED,CORRECT,hard
Acute hepatitis C in Israel: a predominantly iatrogenic disease?,REAL,CORRECT,easy
Out of the smokescreen II: will an advertisement targeting the tobacco industry affect young people's perception of smoking in movies and their intention to smoke?,HALLUCINATED,HALLUCINATED.,hard
Do adjuvant aromatase inhibitors increase the cardiovascular risk in postmenopausal women with early breast cancer?,HALLUCINATED,HALLUCINATED.,medium
Metastatic carcinoma to the cervical nodes from an unknown head and neck primary site: Is there a need for neck dissection?,REAL,CORRECT,easy
Cardiac reoperations in octogenarians: Do they really benefit?,REAL,CORRECT,easy
Location and number of sutures placed for hiatal hernia repair during laparoscopic adjustable gastric banding: does it matter?,REAL,CORRECT,medium
Is Alveolar Macrophage Phagocytic Dysfunction in Children With Protracted Bacterial Bronchitis a Forerunner to Bronchiectasis?,HALLUCINATED,CORRECT,hard
Do elderly patients benefit from surgery in addition to radiotherapy for treatment of metastatic spinal cord compression?,REAL,HALLUCINATED.,easy
Are WHO/UNAIDS/UNICEF-recommended replacement milks for infants of HIV-infected mothers appropriate in the South African context?,HALLUCINATED,HALLUCINATED,medium
Is minilaparoscopic inguinal hernia repair feasible?,REAL,CORRECT,easy
Surgical treatment of prosthetic valve endocarditis in patients with double prostheses: is single-valve replacement safe?,REAL,CORRECT,hard
Epidural analgesia for surgical treatment of peritoneal carcinomatosis: a risky technique?,HALLUCINATED,HALLUCINATED.,easy
Risk stratification in emergency surgical patients: is the APACHE II score a reliable marker of physiological impairment?,REAL,CORRECT,medium
Are physicians meeting the needs of family caregivers of the frail elderly?,REAL,CORRECT,hard
Can nonproliferative breast disease and proliferative breast disease without atypia be distinguished by fine-needle aspiration cytology?,REAL,CORRECT,easy
Are Reviewers' Scores Influenced by Citations to Their Own Work?,HALLUCINATED,CORRECT,easy
Does the central venous pressure predict fluid responsiveness?,REAL,HALLUCINATED,medium
Memory-provoked rCBF-SPECT as a diagnostic tool in Alzheimer's disease?,HALLUCINATED,HALLUCINATED.,medium
Can we ease the financial burden of colonoscopy?,REAL,CORRECT,hard
Is low birth weight a risk indicator for congenital cytomegalovirus infection?,REAL,CORRECT,hard
Is external palliative radiotherapy for gallbladder carcinoma effective?,REAL,CORRECT,medium
Is discordance in TEOAE and AABR outcomes predictable in newborns?,REAL,CORRECT,hard
Chemical shift MRI: is there any contribution to morphologic evaluation of solid breast masses?,REAL,CORRECT,medium
Do some U.S. states have higher/lower injury mortality rates than others?,REAL,CORRECT,hard
Do European people with type 1 diabetes consume a high atherogenic diet?,HALLUCINATED,HALLUCINATED.,medium
Adults with mild intellectual disabilities: can their reading comprehension ability be improved?,HALLUCINATED,HALLUCINATED.,hard
Do antibiotics decrease post-tonsillectomy morbidity?,REAL,CORRECT,easy
Body diffusion-weighted MR imaging of uterine endometrial cancer: is it helpful in the detection of cancer in nonenhanced MR imaging?,REAL,CORRECT,easy
Do inhaled steroids differ from cromones in terms of hospital admission rates for asthma in children?,HALLUCINATED,HALLUCINATED.,medium
Substance use and HIV-related sexual behaviors among US high school students: are they related?,REAL,CORRECT,hard
Does sex influence the response to intravenous thrombolysis in ischemic stroke?,REAL,CORRECT,easy
Thrombosis prophylaxis in hospitalised medical patients: does prophylaxis in all patients make sense?,REAL,CORRECT,hard
Do teleoncology models of care enable safe delivery of chemotherapy in rural towns?,HALLUCINATED,CORRECT,medium
Does Paget's disease exist in India?,REAL,CORRECT,hard
Is There an Additional Value of Using Somatostatin Receptor Subtype 2a Immunohistochemistry Compared to Somatostatin Receptor Scintigraphy Uptake in Predicting Gastroenteropancreatic Neuroendocrine Tumor Response?,REAL,CORRECT,hard
Can vaginal pH be measured from the wet mount slide?,HALLUCINATED,HALLUCINATED.,medium
Does Molecular Genotype Provide Useful Information in the Management of Radioiodine Refractory Thyroid Cancers?,REAL,CORRECT,medium
Screening for gestational diabetes mellitus: are the criteria proposed by the international association of the Diabetes and Pregnancy Study Groups cost-effective?,HALLUCINATED,HALLUCINATED.,medium
Are higher rates of depression in women accounted for by differential symptom reporting?,REAL,CORRECT,easy
Follow-up of patients with new cardiovascular implantable electronic devices: are experts' recommendations implemented in routine clinical practice?,REAL,CORRECT,easy
Does limb-salvage surgery offer patients better quality of life and functional capacity than amputation?,REAL,CORRECT,hard
Serum angiotensin-converting enzyme and frequency of severe hypoglycaemia in Type 1 diabetes: does a relationship exist?,REAL,CORRECT,medium
Cervical spine fractures in geriatric blunt trauma patients with low-energy mechanism: are clinical predictors adequate?,REAL,CORRECT,medium
Do microbiological factors account for poor pregnancy outcome among unmarried pregnant women in Poland?,HALLUCINATED,HALLUCINATED.,hard
Should all patients be optimized to the same preoperative hemoglobin level to avoid transfusion in primary knee arthroplasty?,HALLUCINATED,CORRECT,medium
Is there any relation between cervical cord plaques and discopathy in patients with multiple sclerosis?,HALLUCINATED,CORRECT,easy
Is the processing of affective prosody influenced by spatial attention?,HALLUCINATED,HALLUCINATED.,easy
Is there a role for leukocyte and CRP measurements in the diagnosis of acute appendicitis in the elderly?,REAL,CORRECT,easy
Are bipolar disorders underdiagnosed in patients with depressive episodes?,REAL,CORRECT,hard
Prognosis of low-tone sudden deafness - does it inevitably progress to Meniere's disease?,HALLUCINATED,HALLUCINATED.,easy
Can pictorial warning labels on cigarette packages address smoking-related health disparities?,REAL,CORRECT,hard
Does patient-prosthesis mismatch after aortic valve replacement affect survival and quality of life in elderly patients?,REAL,CORRECT,hard
Is fear of anaphylactic shock discouraging surgeons from more widely adopting percutaneous and laparoscopic techniques in the treatment of liver hydatid cyst?,REAL,CORRECT,medium
Reporting and interpreting red blood cell morphology: is there discordance between clinical pathologists and clinicians?,HALLUCINATED,HALLUCINATED,easy
Does β-catenin have a role in pathogenesis of sebaceous cell carcinoma of the eyelid?,HALLUCINATED,HALLUCINATED.,hard
Is ultrasound equal to X-ray in pediatric fracture diagnosis?,REAL,HALLUCINATED.,easy
Measuring hospital mortality rates: are 30-day data enough?,HALLUCINATED,CORRECT,hard
Hearing loss: an unknown complication of pre-eclampsia?,REAL,CORRECT,easy
Is portable ultrasonography accurate in the evaluation of Schanz pin placement during extremity fracture fixation in austere environments?,HALLUCINATED,HALLUCINATED.,hard
Medical student education in emergency medicine: do students meet the national standards for clinical encounters of selected core conditions?,REAL,CORRECT,medium
A model of healing of Los Angeles grades C and D reflux oesophagitis: is there an optimal time of acid suppression for maximal healing?,REAL,CORRECT,medium
Gadofosveset-enhanced MR angiography of carotid arteries: does steady-state imaging improve accuracy of first-pass imaging?,REAL,CORRECT,hard
Sternal skin conductance: a reasonable surrogate for hot flash measurement?,REAL,HALLUCINATED,medium
Elephant trunk in a small-calibre true lumen for chronic aortic dissection: cause of haemolytic anaemia?,REAL,CORRECT,medium
Does partial expander deflation exacerbate the adverse effects of radiotherapy in two-stage breast reconstruction?,REAL,CORRECT,hard
Should temperature be monitorized during kidney allograft preservation?,REAL,CORRECT,hard
Can p53 alterations be used to predict tumour response to pre-operative chemo-radiotherapy in locally advanced rectal cancer?,REAL,HALLUCINATED,medium
Is irritable bowel syndrome a diagnosis of exclusion?,REAL,CORRECT,hard
Is pelvic pain associated with defecatory symptoms in women with pelvic organ prolapse?,REAL,CORRECT,easy
Does ibuprofen increase perioperative blood loss during hip arthroplasty?,REAL,CORRECT,easy
"Laparoscopic-assisted ileocolic resections in patients with Crohn's disease: are abscesses, phlegmons, or recurrent disease contraindications?",HALLUCINATED,CORRECT,hard
Has the use of complementary and alternative medicine therapies by U.S. adults with chronic disease-related functional limitations changed from 2002 to 2007?,HALLUCINATED,HALLUCINATED.,medium
Is extended aortic replacement in acute type A dissection justifiable?,HALLUCINATED,CORRECT,hard
Is intensive monitoring during the first transfusion in pediatric patients necessary?,REAL,CORRECT,hard
Effects of exercise training on heart rate and QT interval in healthy young individuals: are there gender differences?,HALLUCINATED,CORRECT,hard
Is coeliac disease screening in risk groups justified?,HALLUCINATED,HALLUCINATED.,easy
Analysis of the epidemiological pattern of Shigellosis in Barcelona between 1988 and 2012: Is it an emerging sexually transmitted infection?,HALLUCINATED,HALLUCINATED.,easy
A patient with myelomeningocele: is untethering necessary prior to scoliosis correction?,HALLUCINATED,HALLUCINATED,easy
Is aerobic workload positively related to ambulatory blood pressure?,REAL,CORRECT,hard
PREVALENCE OF THE STREPTOCOCUS AGALACTIAE IN THE PREGNANT WOMAN FROM THE AUTONOMIC CITY OF MELILLA: IS CULTURE A DETERMINANT FACTOR?,REAL,CORRECT,medium
Is fluoroscopy essential for retrieval of lower ureteric stones?,REAL,CORRECT,hard
Does the sequence of clamp application during open abdominal aortic aneurysm surgery influence distal embolisation?,HALLUCINATED,HALLUCINATED.,hard
Are lower fasting plasma glucose levels at diagnosis of type 2 diabetes associated with improved outcomes?,HALLUCINATED,CORRECT,medium
Do elderly patients call 911 when presented with clinical scenarios suggestive of acute stroke?,REAL,CORRECT,hard
Cerebromediastinal tuberculosis in a child with a probable Say-Barber-Miller syndrome: a causative link?,HALLUCINATED,HALLUCINATED,medium
Are virtual planning and guided surgery for head and neck reconstruction economically viable?,REAL,CORRECT,medium
Do overweight children necessarily make overweight adults?,HALLUCINATED,HALLUCINATED.,hard
Biliary atresia: should all patients undergo a portoenterostomy?,REAL,HALLUCINATED,hard
Does a history of unintended pregnancy lessen the likelihood of desire for sterilization reversal?,HALLUCINATED,HALLUCINATED.,medium
Does early discharge with nurse home visits affect adequacy of newborn metabolic screening?,HALLUCINATED,HALLUCINATED.,hard
Are stroke patients' reports of home blood pressure readings reliable?,REAL,CORRECT,hard
Does increasing blood pH stimulate protein synthesis in dialysis patients?,HALLUCINATED,HALLUCINATED.,medium
Can T-cell deficiency affect spatial learning ability following toluene exposure?,HALLUCINATED,HALLUCINATED.,easy
Is there a relationship between homocysteine and vitiligo?,REAL,CORRECT,hard
Do dermatomyositis and polymyositis affect similar thigh muscles?,HALLUCINATED,CORRECT,medium
Juvenile ankylosing spondylitis--is it the same disease as adult ankylosing spondylitis?,REAL,CORRECT,medium
Is Aspiration Thrombectomy Beneficial in Patients Undergoing Primary Percutaneous Coronary Intervention?,HALLUCINATED,HALLUCINATED.,medium
Can static foot posture measurements predict regional plantar surface area?,HALLUCINATED,HALLUCINATED,easy
Can dentists recognize manipulated digital radiographs?,REAL,HALLUCINATED,hard
Is delayed gastric emptying following pancreaticoduodenectomy related to pylorus preservation?,REAL,CORRECT,hard
Is Overexpression of Ki-67 a Prognostic Biomarker of Upper Tract Urinary Carcinoma?,REAL,CORRECT,easy
Does a delay in transfer to a rehabilitation unit for older people affect outcome after fracture of the proximal femur?,REAL,CORRECT,hard
Does the treatment of amblyopia normalise subfoveal choroidal thickness in amblyopic children?,REAL,CORRECT,medium
A comparison of 500 prefilled textured saline breast implants versus 500 standard textured saline breast implants: is there a difference in deflation rates?,HALLUCINATED,HALLUCINATED,easy
Do foreign bodies migrate through the body towards the heart?,HALLUCINATED,CORRECT,hard
Is there a relationship between serum paraoxonase level and epicardial fat tissue thickness?,REAL,CORRECT,hard
Chemoradiation instead of surgery to treat mid and low rectal tumors: is it safe?,REAL,HALLUCINATED,hard
Is calibration the cause of variation in liquid chromatography tandem mass spectrometry testosterone measurement?,HALLUCINATED,CORRECT,hard
Are complex coronary lesions more frequent in patients with diabetes mellitus?,HALLUCINATED,CORRECT,easy
Are variations in the use of carotid endarterectomy explained by population Need?,REAL,CORRECT,hard
Are there effects of intrauterine cocaine exposure on delinquency during early adolescence?,REAL,CORRECT,easy
Is expert breast pathology assessment necessary for the management of ductal carcinoma in situ ?,HALLUCINATED,HALLUCINATED.,easy
Thoracic and thoracoabdominal aneurysm repair: is reimplantation of spinal cord arteries a waste of time?,HALLUCINATED,HALLUCINATED.,medium
Is year of radical prostatectomy a predictor of outcome in prostate cancer?,HALLUCINATED,CORRECT,medium
Does health information exchange reduce redundant imaging?,HALLUCINATED,HALLUCINATED.,easy
Is decompressive surgery effective for spinal cord sarcoidosis accompanied with compressive cervical myelopathy?,REAL,HALLUCINATED,hard
Endovenous laser ablation in the treatment of small saphenous varicose veins: does site of access influence early outcomes?,HALLUCINATED,HALLUCINATED.,medium
Is a pressor necessary during aortic perfusion and oxygenation therapy of cardiac arrest?,HALLUCINATED,CORRECT,easy
Do people who were passive smokers during childhood have increased risk of long-term work disability?,HALLUCINATED,HALLUCINATED,hard
Is the covering of the resection margin after distal pancreatectomy advantageous?,REAL,HALLUCINATED,medium
Does treatment duration affect outcome after radiotherapy for prostate cancer?,HALLUCINATED,HALLUCINATED.,hard
Is the urinary biomarkers assessment a non-invasive approach to tubular lesions of the solitary kidney?,REAL,CORRECT,hard
Is there a role for fondaparinux in perioperative bridging?,REAL,CORRECT,easy
Motor performance in chronic low back pain: is there an influence of pain-related cognitions?,REAL,CORRECT,easy
Patient comprehension of emergency department care and instructions: are patients aware of when they do not understand?,REAL,CORRECT,medium
Can mandibular depiction be improved by changing the thickness of double-oblique computed tomography images?,REAL,HALLUCINATED.,hard
Adjuvant radiation of stage III thymoma: is it necessary?,REAL,CORRECT,medium
Inhibin: a new circulating marker of hydatidiform mole?,HALLUCINATED,CORRECT,hard
Is the fibronectin-aggrecan complex present in cervical disk disease?,HALLUCINATED,HALLUCINATED.,hard
Does peritoneal dialysis affect halitosis in patients with end-stage renal disease?,HALLUCINATED,HALLUCINATED.,medium
Can elevated troponin I levels predict complicated clinical course and inhospital mortality in patients with acute pulmonary embolism?,HALLUCINATED,HALLUCINATED.,medium
Is transurethral catheterisation the ideal method of bladder drainage?,REAL,CORRECT,easy
The colour of pain: can patients use colour to describe osteoarthritis pain?,HALLUCINATED,CORRECT,medium
Inpatient Pediatric Tonsillectomy: Does Hospital Type Affect Cost and Outcomes of Care?,HALLUCINATED,HALLUCINATED.,hard
Does anterior laxity of the uninjured knee influence clinical outcomes of ACL reconstruction?,HALLUCINATED,HALLUCINATED.,easy
Is the type of remission after a major depressive episode an important risk factor to relapses in a 4-year follow up?,HALLUCINATED,CORRECT,hard
Prostate-specific antigen and free prostate-specific antigen in the early detection of prostate cancer: do combination tests improve detection?,HALLUCINATED,CORRECT,medium
Can homemade alcohol (Raksi) be useful for preserving dead bodies?,HALLUCINATED,CORRECT,medium
Do elderly cancer patients have different care needs compared with younger ones?,HALLUCINATED,HALLUCINATED.,hard
Is breast cancer survival improving?,REAL,CORRECT,medium
Can common carotid intima media thickness serve as an indicator of both cardiovascular phenotype and risk among black Africans?,REAL,CORRECT,easy
Delayed diagnosis of anorectal malformations: are current guidelines sufficient?,REAL,CORRECT,hard
Is being small for gestational age a risk factor for retinopathy of prematurity?,REAL,HALLUCINATED,medium
Comparative safety of infliximab and etanercept on the risk of serious infections: does the association vary by patient characteristics?,HALLUCINATED,HALLUCINATED.,easy
Fast foods - are they a risk factor for asthma?,HALLUCINATED,HALLUCINATED.,medium
Can magnetic resonance-ultrasound fusion biopsy improve cancer detection in enlarged prostates?,REAL,CORRECT,easy
Does normothermic normokalemic simultaneous antegrade/retrograde perfusion improve myocardial oxygenation and energy metabolism for hypertrophied hearts?,REAL,HALLUCINATED.,medium
Are there progressive brain changes in schizophrenia?,REAL,CORRECT,hard
Does concept mapping enhance learning outcome of nursing students?,HALLUCINATED,HALLUCINATED.,easy
Is the Androgen Deficiency of Aging Men (ADAM) questionnaire useful for the screening of partial androgenic deficiency of aging men?,HALLUCINATED,HALLUCINATED.,medium
Does the Transmissible Liability Index (TLI) assessed in late childhood predict suicidal symptoms at young adulthood?,REAL,CORRECT,hard
Are there gender differences in the reasons why African Americans delay in seeking medical help for symptoms of an acute myocardial infarction?,HALLUCINATED,HALLUCINATED.,easy
Does histologic chorioamnionitis correspond to clinical chorioamnionitis?,REAL,CORRECT,hard
"Are lifetime prevalence of impetigo, molluscum and herpes infection really increased in children having atopic dermatitis?",HALLUCINATED,CORRECT,hard
Does sonographic needle guidance affect the clinical outcome of intraarticular injections?,HALLUCINATED,HALLUCINATED.,easy
Pancreas retransplantation:  a second chance for diabetic patients?,HALLUCINATED,HALLUCINATED.,medium
Factors determining the survival of nasopharyngeal carcinoma with lung metastasis alone: does combined modality treatment benefit?,REAL,CORRECT,medium
Do viral infections have a role in benign paroxysmal positional vertigo?,HALLUCINATED,HALLUCINATED.,medium
Does the enteral feeding advancement affect short-term outcomes in very low birth weight infants?,HALLUCINATED,HALLUCINATED.,medium
Is late-night salivary cortisol a better screening test for possible cortisol excess than standard screening tests in obese patients with Type 2 diabetes?,HALLUCINATED,HALLUCINATED.,easy
Does psychological distress predict disability?,HALLUCINATED,CORRECT,easy
Does preloading with colloids prevent hemodynamic changes when neurosurgical patients are subsequently changed to the seated position?,REAL,CORRECT,easy
Does continuous intravenous infusion of low-concentration epinephrine impair uterine blood flow in pregnant ewes?,REAL,CORRECT,easy
Is there a first night effect on sleep bruxism?,REAL,CORRECT,medium
Does menopausal transition affect the quality of life?,HALLUCINATED,HALLUCINATED.,hard
Can clinicians use the PHQ-9 to assess depression in people with vision loss?,REAL,CORRECT,medium
Should all human immunodeficiency virus-infected patients with end-stage renal disease be excluded from transplantation?,REAL,CORRECT,hard
Is the 7th TNM edition suitable for biological predictor in early gastric cancer?,REAL,CORRECT,medium
Does growth hormone replacement therapy reduce mortality in adults with growth hormone deficiency?,REAL,CORRECT,medium
Attaining negative margins in breast-conservation operations: is there a consensus among breast surgeons?,REAL,CORRECT,medium
Can serum be used for analyzing the EGFR mutation status in patients with advanced non-small cell lung cancer?,REAL,CORRECT,medium
Do Web-based and clinic samples of gay men living with HIV differ on self-reported physical and psychological symptoms?,HALLUCINATED,CORRECT,medium
Are patients with diabetes receiving the same message from dietitians and nurses?,HALLUCINATED,HALLUCINATED.,medium
Preparing patients at high risk of falls for discharge home after rehabilitation: Do we meet the guidelines?,REAL,CORRECT,medium
"Expression of c-kit protooncogen in hepatitis B virus-induced chronic hepatitis, cirrhosis and hepatocellular carcinoma: has it a diagnostic role?",REAL,CORRECT,hard
Longer term quality of life and outcome in stroke patients: is the Barthel index alone an adequate measure of outcome?,REAL,CORRECT,hard
Do women residents delay childbearing due to perceived career threats?,HALLUCINATED,HALLUCINATED.,easy
Do general practitioner hospitals reduce the utilisation of general hospital beds?,HALLUCINATED,HALLUCINATED.,medium
Some aspects of social exclusion: do they influence suicide mortality?,HALLUCINATED,HALLUCINATED.,medium
Does parity increase insulin resistance during pregnancy?,HALLUCINATED,CORRECT,hard
Informed consent for total hip arthroplasty: does a written information sheet improve recall by patients?,REAL,CORRECT,hard
Is gastric cancer different in Korea and the United States?,HALLUCINATED,CORRECT,hard
Do we need imaging to diagnose appendicitis in children?,HALLUCINATED,CORRECT,hard
Discharging patients earlier from Winnipeg hospitals: does it adversely affect quality of care?,REAL,CORRECT,hard
Does the distribution of health care benefits in Kenya meet the principles of universal coverage?,REAL,CORRECT,easy
Cholesterol screening in school children: is family history reliable to choose the ones to screen?,REAL,CORRECT,hard
Bony defects in chronic anterior posttraumatic dislocation of the shoulder: Is there a correlation between humeral and glenoidal lesions?,HALLUCINATED,HALLUCINATED.,hard
Do parents recall and understand children's weight status information after BMI screening?,REAL,CORRECT,easy
Does ambulatory process of care predict health-related quality of life outcomes for patients with chronic disease?,REAL,CORRECT,easy
Does perspective-taking increase patient satisfaction in medical encounters?,HALLUCINATED,HALLUCINATED.,easy
Is first-line single-agent mitoxantrone in the treatment of high-risk metastatic breast cancer patients as effective as combination chemotherapy?,REAL,CORRECT,medium
Are patients with Werlhof's disease at increased risk for bleeding complications when undergoing cardiac surgery?,REAL,CORRECT,hard
Is neck pain associated with worse health-related quality of life 6 months later?,REAL,CORRECT,hard
Does oral α-galactosidase relieve irritable bowel symptoms?,REAL,CORRECT,hard
Is there a connection between sublingual varices and hypertension?,REAL,CORRECT,hard
Can CT predict the level of CSF block in tuberculous hydrocephalus?,HALLUCINATED,CORRECT,hard
MR arthrography of the shoulder: do we need local anesthesia?,HALLUCINATED,HALLUCINATED,hard
Does cognitive function predict frequency compressed speech recognition in listeners with normal hearing and normal cognition?,REAL,HALLUCINATED,hard
Should cavitation in proximal surfaces be reported in cone beam computed tomography examination?,REAL,CORRECT,easy
Do supervised colorectal trainees differ from consultants in terms of quality of TME surgery?,REAL,CORRECT,medium
Affect-regulated exercise intensity: does training at an intensity that feels 'good' improve physical health?,REAL,CORRECT,medium
Do socioeconomic differences in mortality persist after retirement?,REAL,CORRECT,medium
Women with synchronous primary cancers of the endometrium and ovary: do they have Lynch syndrome?,HALLUCINATED,CORRECT,hard
Can emergency physicians accurately and reliably assess acute vertigo in the emergency department?,REAL,CORRECT,medium
Orthostatic myoclonus: an underrecognized cause of unsteadiness?,HALLUCINATED,CORRECT,hard
Is the cell death in mesial temporal sclerosis apoptotic?,REAL,CORRECT,medium
Contrast-enhanced MR imaging of hand and finger joints in patients with early rheumatoid arthritis: do we really need a full dose of gadobenate dimeglumine for assessing synovial enhancement at 3 T?,REAL,CORRECT,medium
Does laparoscopic cholecystectomy influence peri-sinusoidal cell activity?,REAL,HALLUCINATED.,hard
Does case-mix based reimbursement stimulate the development of process-oriented care delivery?,HALLUCINATED,CORRECT,hard
Risky sexual behavior among college students With ADHD: is the mother-child relationship protective?,REAL,CORRECT,medium
Rotator cuff tear--an occupational disease?,HALLUCINATED,HALLUCINATED,easy
Is there a need for pelvic CT scan in cases of renal cell carcinoma?,REAL,CORRECT,easy
Prognostic factors for cervical spondylotic amyotrophy: are signs of spinal cord involvement associated with the neurological prognosis?,REAL,CORRECT,hard
Parasacral sciatic nerve block: does the elicited motor response predict the success rate?,HALLUCINATED,HALLUCINATED.,medium
Is Bare-Metal Stent Implantation Still Justifiable in High Bleeding Risk Patients Undergoing Percutaneous Coronary Intervention?,HALLUCINATED,HALLUCINATED.,hard
Ovarian torsion in children: is oophorectomy necessary?,REAL,CORRECT,hard
Does minimal access major surgery in the newborn hurt less?,REAL,CORRECT,hard
Does aerobic fitness influence microvascular function in healthy adults at risk of developing Type 2 diabetes?,REAL,CORRECT,medium
Are high flow nasal cannulae noisier than bubble CPAP for preterm infants?,HALLUCINATED,HALLUCINATED.,hard
Nutritional assessment of gluten-free diet. Is gluten-free diet deficient in some nutrient?,HALLUCINATED,HALLUCINATED.,hard
Standardizing care in medical oncology: are Web-based systems the answer?,REAL,CORRECT,medium
"Antiretroviral therapy related adverse effects: Can sub-Saharan Africa cope with the new ""test and treat"" policy of the World Health Organization?",HALLUCINATED,CORRECT,hard
Are the elderly with oropharyngeal carcinoma undertreated?,REAL,CORRECT,easy
Preoperative staging of patients with liver metastases of colorectal carcinoma. Does PET/CT really add something to multidetector CT?,REAL,CORRECT,easy
Can myometrial electrical activity identify patients in preterm labor?,REAL,CORRECT,medium
Schizophrenia patients with high intelligence: A clinically distinct sub-type of schizophrenia?,HALLUCINATED,CORRECT,medium
Is ankle/arm pressure predictive for cardiovascular mortality in older patients living in nursing homes?,HALLUCINATED,HALLUCINATED.,medium
Is nasogastric decompression useful in prevention of leaks after laparoscopic sleeve gastrectomy?,HALLUCINATED,HALLUCINATED.,medium
The objective structured clinical examination: can physician-examiners participate from a distance?,HALLUCINATED,HALLUCINATED.,hard
CPAP therapy in patients with idiopathic pulmonary fibrosis and obstructive sleep apnea: does it offer a better quality of life and sleep?,REAL,CORRECT,easy
Does open access endoscopy close the door to an adequately informed patient?,HALLUCINATED,HALLUCINATED.,hard
Is hypoalbuminemia an independent prognostic factor in patients with gastric cancer?,REAL,CORRECT,hard
Can the postoperative pain level be predicted preoperatively?,HALLUCINATED,HALLUCINATED.,easy
Proliferative index obtained by DNA image cytometry. Does it add prognostic information in Auer IV breast cancer?,HALLUCINATED,HALLUCINATED,medium
Does skin care frequency affect the severity of incontinence-associated dermatitis in critically ill patients?,HALLUCINATED,HALLUCINATED.,medium
Is primary angioplasty an acceptable alternative to thrombolysis?,REAL,CORRECT,hard
Should HIV-infected patients be screened for silent myocardial ischaemia using gated myocardial perfusion SPECT?,HALLUCINATED,HALLUCINATED,hard
Does the aggressive use of polyvalent antivenin for rattlesnake bites result in serious acute side effects?,HALLUCINATED,HALLUCINATED.,medium
Do resident's leadership skills relate to ratings of technical skill?,REAL,CORRECT,medium
The FOOTSTEP self-management foot care programme: are rheumatoid arthritis patients physically able to participate?,REAL,CORRECT,medium
CYP2D6*4 allele and breast cancer risk: is there any association?,REAL,CORRECT,hard
Does base deficit predict mortality in patients with severe traumatic brain injury?,REAL,HALLUCINATED,medium
Does increased use of private health care reduce the demand for NHS care?,REAL,HALLUCINATED,easy
Does confined placental mosaicism account for adverse perinatal outcomes in IVF pregnancies?,REAL,CORRECT,medium
Utility of unenhanced fat-suppressed T1-weighted MRI in children with sickle cell disease -- can it differentiate bone infarcts from acute osteomyelitis?,HALLUCINATED,HALLUCINATED.,medium
Cancer of the buccal mucosa: are margins and T-stage accurate predictors of local control?,REAL,CORRECT,medium
Can mass drug administration lead to the sustainable control of schistosomiasis?,HALLUCINATED,HALLUCINATED.,hard
Can D-dimer become a new diagnostic parameter for acute appendicitis?,REAL,HALLUCINATED.,hard
Is there a relationship between rheumatoid arthritis and periodontal disease?,HALLUCINATED,CORRECT,hard
Do clinical variables predict pathologic radiographs in the first episode of wheezing?,HALLUCINATED,HALLUCINATED,medium
Globulomaxillary cysts--do they really exist?,HALLUCINATED,HALLUCINATED.,easy
MiraLAX vs. Golytely: is there a significant difference in the adenoma detection rate?,REAL,CORRECT,medium
Does government assistance improve utilization of eye care services by low-income individuals?,REAL,CORRECT,hard
Does telmisartan prevent hepatic fibrosis in rats with alloxan-induced diabetes?,REAL,CORRECT,hard
Two-year follow-up survey of patients with allergic contact dermatitis from an occupational cohort: is the prognosis dependent on the omnipresence of the allergen?,REAL,CORRECT,hard
Can calprotectin predict relapse risk in inflammatory bowel disease?,HALLUCINATED,HALLUCINATED.,medium
Can nurse-led preoperative education reduce anxiety and postoperative complications of patients undergoing cardiac surgery?,REAL,CORRECT,medium
Is there a discrepancy between patient and physician quality of life assessment?,REAL,CORRECT,hard
Impact of MPH programs: contributing to health system strengthening in low- and middle-income countries?,REAL,CORRECT,easy
Is diffusion-weighted imaging a significant indicator of the development of vascularization in hypovascular hepatocellular lesions?,HALLUCINATED,HALLUCINATED.,hard
Are failures of anterior cruciate ligament reconstruction associated with steep posterior tibial slopes?,REAL,CORRECT,medium
Does evidence-based practice improve patient outcomes?,REAL,CORRECT,easy
Multidisciplinary decisions in breast cancer: does the patient receive what the team has recommended?,REAL,CORRECT,easy
Does quilting suture prevent seroma in abdominoplasty?,REAL,HALLUCINATED.,hard
Does feeding tube insertion and its timing improve survival?,REAL,CORRECT,hard
Does prostate morphology affect outcomes after holmium laser enucleation?,REAL,CORRECT,medium
Do acute changes in heart rate by isoproterenol affect aortic stiffness in patients with hypertension?,REAL,CORRECT,hard
"""Occult"" posttraumatic lesions of the knee: can magnetic resonance substitute for diagnostic arthroscopy?",HALLUCINATED,HALLUCINATED,easy
Could ESC (Electronic Stability Control) change the way we drive?,HALLUCINATED,CORRECT,hard
The insertion allele of the ACE gene I/D polymorphism. A candidate gene for insulin resistance?,REAL,CORRECT,hard
Do ventricular arrhythmias in athletes subside over time?,HALLUCINATED,HALLUCINATED.,hard
Does ethnicity affect where people with cancer die?,REAL,CORRECT,hard
Are patients with serious mental illness more likely to be admitted to nursing homes with more deficiencies in care?,HALLUCINATED,CORRECT,medium
Does an additional antirotation U-Blade (RC) lag screw improve treatment of AO/OTA 31 A1-3 fractures with gamma 3 nail?,REAL,HALLUCINATED,medium
